%d-%b-%y;Open;High;Low;Close;Volume
1-Feb-02;17.26;17.30;16.35;16.68;6930100
4-Feb-02;16.55;16.60;15.60;15.75;8913700
5-Feb-02;15.56;16.16;15.23;15.77;10670100
6-Feb-02;16.09;16.10;15.50;15.89;12587600
7-Feb-02;15.66;15.75;14.95;15.35;10746100
8-Feb-02;15.41;16.72;15.33;16.65;9278400
11-Feb-02;16.40;16.82;16.12;16.55;6423900
12-Feb-02;16.38;16.53;16.12;16.33;4850600
13-Feb-02;16.68;17.18;16.41;16.79;12461400
14-Feb-02;16.92;17.35;16.50;16.57;6870300
15-Feb-02;16.70;16.71;15.49;15.67;7542500
19-Feb-02;15.12;15.15;14.25;14.44;12433500
20-Feb-02;14.74;15.43;14.01;15.29;12582600
21-Feb-02;15.15;15.35;14.35;14.44;10151000
22-Feb-02;14.30;14.66;13.41;14.46;9096000
25-Feb-02;14.42;15.25;14.09;15.00;9909900
26-Feb-02;15.11;15.13;14.16;14.93;8483500
27-Feb-02;15.09;15.38;14.45;14.55;8304600
28-Feb-02;14.63;15.01;14.25;14.46;8366100
